Klub,Miasto,lat,long
Manchester Utd,Manchester,53.4809,-2.2374
Dynamo Kyiv,Kijów,50.4501,30.5234
Benfica,Lizbona,38.7223,-9.1393
Barcelona,Barcelona,41.3851,2.1734
Barcelona,Barcelona,41.3851,2.1734
Lazio,Rzym,41.9028,12.4964
RB Salzburg,Salzburg,47.8095,13.0550
RB Salzburg,Salzburg,47.8095,13.0550
Lyon,Lion,45.7640,4.8357
Chelsea,Londyn,51.5074,-0.1278
Red Star,Belgrad,44.7866,20.4489
Red Star,Belgrad,44.7866,20.4489
Red Star,Belgrad,44.7866,20.4489
Red Star,Belgrad,44.7866,20.4489
Olympiacos,Pireus,37.9647,23.6152
Olympiacos,Pireus,37.9647,23.6152
Tottenham,Londyn,51.5074,-0.1278
Tottenham,Londyn,51.5074,-0.1278
Ajax,Amsterdam,52.3676,4.9041
Ajax,Amsterdam,52.3676,4.9041
AEK Athens,Ateny,37.9838,23.7275
Benfica,Lizbona,38.7223,-9.1393
Anderlecht,Bruksela,50.8503,4.3517
Real Madrid,Madryt,40.4168,-3.7038
Arsenal,Londyn,51.5074,-0.1278
PSV Eindhoven,Eindhoven,51.4416,5.4697
PSV Eindhoven,Eindhoven,51.4416,5.4697
Dinamo Zagreb,Zagrzeb,45.8150,15.9785
Dinamo Zagreb,Zagrzeb,45.8150,15.9785
Manchester City,Manchester,53.4809,-2.2374
Roma,Rzym,41.9028,12.4964
Zenit,Sankt Petersburg,59.9390,30.3158
Zenit,Sankt Petersburg,59.9390,30.3158
Marseille,Marsylia,43.2965,5.3698
Arsenal,Londyn,51.5074,-0.1278
Shakhtar,Donieck,48.0159,37.8029
Ajax,Amsterdam,52.3676,4.9041
Ajax,Amsterdam,52.3676,4.9041
Olympiacos,Pireus,37.9647,23.6152
Fredrikstad,Fredrikstad,59.2193,10.9394
Khazar Lankaran,Lankaran,38.7517,48.851
